aut_id,exp_id,fold_aut_id,fold_exp_id,qe,ph,temp,ce,rpm,sa,fg_complexing,fg_polar,fg_any,ags_aged,ags_virgin,ph_missing,temp_missing,rpm_missing,sa_missing,metal_cd,metal_cr,metal_hg,ret_other,ret_pa,ret_pe,ret_pet,ret_pla,ret_pp,ret_ps,ret_pvc
AUT01,AUT01_EXP01,1,0,0.10368888,7.0,25.0,1.98948,30.0,,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
AUT01,AUT01_EXP01,1,0,0.11612876,7.0,25.0,3.99826,30.0,,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
AUT01,AUT01_EXP01,1,0,0.21069723,7.0,25.0,5.99008,30.0,,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
AUT01,AUT01_EXP01,1,0,0.20396954,7.0,25.0,7.98614,30.0,,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
AUT01,AUT01_EXP01,1,0,0.26261468,7.0,25.0,9.97796,30.0,,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
AUT01,AUT01_EXP01,1,0,0.26718443,7.0,25.0,14.97446,30.0,,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
AUT01,AUT01_EXP02,1,3,0.09873832,7.0,25.0,2.01067,30.0,0.99,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AUT01,AUT01_EXP02,1,3,0.09734201,7.0,25.0,3.99826,30.0,0.99,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AUT01,AUT01_EXP02,1,3,0.13542327,7.0,25.0,5.99855,30.0,0.99,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AUT01,AUT01_EXP02,1,3,0.19241822,7.0,25.0,8.00733,30.0,0.99,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AUT01,AUT01_EXP02,1,3,0.2007961,7.0,25.0,9.99491,30.0,0.99,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AUT01,AUT01_EXP02,1,3,0.20435035,7.0,25.0,14.97446,30.0,0.99,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
