author_year,aut_id,number_of_rows,number_of_experiments,metal_types
"(Chen et al., 2024)",AUT48,24,4,Cr (VI)
"(Frost et al., 2024)",AUT49,42,6,Cd (II); Hg (II)
"(Gao et al., 2021)",AUT12,24,4,Cd (II)
"(Gao et al., 2023)",AUT39,30,6,Hg (II)
"(Guo et al., 2020)",AUT04,38,4,Cd (II)
"(Hu et al., 2024b)",AUT51,24,4,Cr (VI)
"(Lang et al., 2020)",AUT05,45,9,Cd (II)
"(Li et al., 2019)",AUT01,30,5,Cd (II)
"(Li et al., 2021)",AUT13,69,12,Cd (II)
"(Li et al., 2022)",AUT21,42,7,Cr (VI)
"(Li et al., 2022b)",AUT22,18,2,Cd (II)
"(Li et al., 2022d)",AUT24,180,24,Cr (VI)
"(Li et al., 2024)",AUT45,45,6,Hg (II)
"(Qiu et al., 2022)",AUT30,70,12,Hg (II)
"(Tang et al., 2022)",AUT33,7,1,Cd (II)
"(Wang et al., 2022b)",AUT35,105,12,Cd (II)
"(Yu et al., 2021)",AUT18,18,3,Cd (II)
"(Zhang et al., 2024b)",AUT47,40,8,Cd (II); Cr (VI)
"(Zhao et al., 2022)",AUT36,38,5,Cd (II)
"(Zhou et al., 2022b)",AUT38,18,2,Cr (VI)
"(Zou et al., 2020)",AUT10,20,4,Cd (II)
"Jiang et al., 2025)",AUT56,12,2,Cd (II)
"Mao et al., 2020)",AUT06,70,7,Cd (II)
