Importance method,Validation regime,feature,feature_type,null_type,mechanism_group,mean_importance,mean_importance_share
EN coefficient,Grouped by study,num__ce_over_rpm,real,real,solution_chemistry,0.019,0.74
EN coefficient,Grouped by study,num__temp,real,real,solution_chemistry,0.003,0.156
EN coefficient,Grouped by study,num__ph,real,real,solution_chemistry,0.001,0.104
EN coefficient,Grouped by study,num__ph_x_temp,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__aged_x_fg_any,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__aged_x_fg_complexing,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__ags_aged,real,real,aging_state,0.0,0.0
EN coefficient,Grouped by study,num__ags_virgin,real,real,aging_state,0.0,0.0
EN coefficient,Grouped by study,num__cd_x_ce_log,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__cd_x_ph,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__cd_x_sa_log,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__ce,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__ce_log1p,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__ce_log_x_rpm_log,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__ce_over_sa,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__cr_x_ce_log,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__cr_x_ph,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__cr_x_sa_log,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__fg_any,real,real,surface_functionality,0.0,0.0
EN coefficient,Grouped by study,num__fg_complexing,real,real,surface_functionality,0.0,0.0
EN coefficient,Grouped by study,num__fg_polar,real,real,surface_functionality,0.0,0.0
EN coefficient,Grouped by study,num__hg_x_ce_log,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__hg_x_ph,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__hg_x_sa_log,real,real,other,0.0,0.0
EN coefficient,Grouped by study,num__metal_cd,real,real,metal_identity,0.0,0.0
EN coefficient,Grouped by study,num__metal_cr,real,real,metal_identity,0.0,0.0
EN coefficient,Grouped by study,num__metal_hg,real,real,metal_identity,0.0,0.0
EN coefficient,Grouped by study,num__null_exp_random_effect,real,group_aware_random,null_feature,0.0,0.0
EN coefficient,Grouped by study,num__null_perm_ce,real,permuted_real,null_feature,0.0,0.0
EN coefficient,Grouped by study,num__null_perm_ph,real,permuted_real,null_feature,0.0,0.0
EN coefficient,Grouped by study,num__null_random_binary,real,random_noise,null_feature,0.0,0.0
EN coefficient,Grouped by study,num__null_random_normal,real,random_noise,null_feature,0.0,0.0
EN coefficient,Grouped by study,num__null_random_uniform,real,random_noise,null_feature,0.0,0.0
EN coefficient,Grouped by study,num__null_study_random_effect,real,group_aware_random,null_feature,0.0,0.0
EN coefficient,Grouped by study,num__ph_missing,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__ph_x_ce_log,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__ret_other,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__ret_pa,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__ret_pa_x_fg_any,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__ret_pe,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__ret_pe_x_fg_any,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__ret_pet,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__ret_pla,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__ret_pp,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__ret_ps,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__ret_ps_x_fg_any,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__ret_pvc,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by study,num__rpm,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__rpm_log1p,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__rpm_missing,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__sa,real,real,surface_area_porosity,0.0,0.0
EN coefficient,Grouped by study,num__sa_log1p,real,real,surface_area_porosity,0.0,0.0
EN coefficient,Grouped by study,num__sa_missing,real,real,surface_area_porosity,0.0,0.0
EN coefficient,Grouped by study,num__temp_log1p,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__temp_missing,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by study,num__temp_x_ce_log,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__ce_over_rpm,real,real,solution_chemistry,0.019,0.881
EN coefficient,Grouped by experiment,num__temp,real,real,solution_chemistry,0.003,0.103
EN coefficient,Grouped by experiment,num__ph,real,real,solution_chemistry,0.0,0.016
EN coefficient,Grouped by experiment,num__aged_x_fg_any,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__aged_x_fg_complexing,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__ags_aged,real,real,aging_state,0.0,0.0
EN coefficient,Grouped by experiment,num__ags_virgin,real,real,aging_state,0.0,0.0
EN coefficient,Grouped by experiment,num__cd_x_ce_log,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__cd_x_ph,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__cd_x_sa_log,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__ce,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__ce_log1p,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__ce_log_x_rpm_log,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__ce_over_sa,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__cr_x_ce_log,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__cr_x_ph,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__cr_x_sa_log,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__fg_any,real,real,surface_functionality,0.0,0.0
EN coefficient,Grouped by experiment,num__fg_complexing,real,real,surface_functionality,0.0,0.0
EN coefficient,Grouped by experiment,num__fg_polar,real,real,surface_functionality,0.0,0.0
EN coefficient,Grouped by experiment,num__hg_x_ce_log,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__hg_x_ph,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__hg_x_sa_log,real,real,other,0.0,0.0
EN coefficient,Grouped by experiment,num__metal_cd,real,real,metal_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__metal_cr,real,real,metal_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__metal_hg,real,real,metal_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__null_exp_random_effect,real,group_aware_random,null_feature,0.0,0.0
EN coefficient,Grouped by experiment,num__null_perm_ce,real,permuted_real,null_feature,0.0,0.0
EN coefficient,Grouped by experiment,num__null_perm_ph,real,permuted_real,null_feature,0.0,0.0
EN coefficient,Grouped by experiment,num__null_random_binary,real,random_noise,null_feature,0.0,0.0
EN coefficient,Grouped by experiment,num__null_random_normal,real,random_noise,null_feature,0.0,0.0
EN coefficient,Grouped by experiment,num__null_random_uniform,real,random_noise,null_feature,0.0,0.0
EN coefficient,Grouped by experiment,num__null_study_random_effect,real,group_aware_random,null_feature,0.0,0.0
EN coefficient,Grouped by experiment,num__ph_missing,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__ph_x_ce_log,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__ph_x_temp,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_other,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_pa,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_pa_x_fg_any,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_pe,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_pe_x_fg_any,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_pet,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_pla,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_pp,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_ps,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_ps_x_fg_any,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__ret_pvc,real,real,polymer_identity,0.0,0.0
EN coefficient,Grouped by experiment,num__rpm,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__rpm_log1p,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__rpm_missing,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__sa,real,real,surface_area_porosity,0.0,0.0
EN coefficient,Grouped by experiment,num__sa_log1p,real,real,surface_area_porosity,0.0,0.0
EN coefficient,Grouped by experiment,num__sa_missing,real,real,surface_area_porosity,0.0,0.0
EN coefficient,Grouped by experiment,num__temp_log1p,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__temp_missing,real,real,solution_chemistry,0.0,0.0
EN coefficient,Grouped by experiment,num__temp_x_ce_log,real,real,solution_chemistry,0.0,0.0
EN coefficient,Random CV,num__ce_over_rpm,real,real,solution_chemistry,0.02,0.897
EN coefficient,Random CV,num__temp,real,real,solution_chemistry,0.002,0.087
EN coefficient,Random CV,num__ph,real,real,solution_chemistry,0.0,0.016
EN coefficient,Random CV,num__aged_x_fg_any,real,real,other,0.0,0.0
EN coefficient,Random CV,num__aged_x_fg_complexing,real,real,other,0.0,0.0
EN coefficient,Random CV,num__ags_aged,real,real,aging_state,0.0,0.0
EN coefficient,Random CV,num__ags_virgin,real,real,aging_state,0.0,0.0
EN coefficient,Random CV,num__cd_x_ce_log,real,real,other,0.0,0.0
EN coefficient,Random CV,num__cd_x_ph,real,real,other,0.0,0.0
EN coefficient,Random CV,num__cd_x_sa_log,real,real,other,0.0,0.0
EN coefficient,Random CV,num__ce,real,real,solution_chemistry,0.0,0.0
EN coefficient,Random CV,num__ce_log1p,real,real,solution_chemistry,0.0,0.0
EN coefficient,Random CV,num__ce_log_x_rpm_log,real,real,solution_chemistry,0.0,0.0
EN coefficient,Random CV,num__ce_over_sa,real,real,solution_chemistry,0.0,0.0
EN coefficient,Random CV,num__cr_x_ce_log,real,real,other,0.0,0.0
EN coefficient,Random CV,num__cr_x_ph,real,real,other,0.0,0.0
EN coefficient,Random CV,num__cr_x_sa_log,real,real,other,0.0,0.0
EN coefficient,Random CV,num__fg_any,real,real,surface_functionality,0.0,0.0
EN coefficient,Random CV,num__fg_complexing,real,real,surface_functionality,0.0,0.0
EN coefficient,Random CV,num__fg_polar,real,real,surface_functionality,0.0,0.0
EN coefficient,Random CV,num__hg_x_ce_log,real,real,other,0.0,0.0
EN coefficient,Random CV,num__hg_x_ph,real,real,other,0.0,0.0
EN coefficient,Random CV,num__hg_x_sa_log,real,real,other,0.0,0.0
EN coefficient,Random CV,num__metal_cd,real,real,metal_identity,0.0,0.0
EN coefficient,Random CV,num__metal_cr,real,real,metal_identity,0.0,0.0
EN coefficient,Random CV,num__metal_hg,real,real,metal_identity,0.0,0.0
EN coefficient,Random CV,num__null_exp_random_effect,real,group_aware_random,null_feature,0.0,0.0
EN coefficient,Random CV,num__null_perm_ce,real,permuted_real,null_feature,0.0,0.0
EN coefficient,Random CV,num__null_perm_ph,real,permuted_real,null_feature,0.0,0.0
EN coefficient,Random CV,num__null_random_binary,real,random_noise,null_feature,0.0,0.0
EN coefficient,Random CV,num__null_random_normal,real,random_noise,null_feature,0.0,0.0
EN coefficient,Random CV,num__null_random_uniform,real,random_noise,null_feature,0.0,0.0
EN coefficient,Random CV,num__null_study_random_effect,real,group_aware_random,null_feature,0.0,0.0
EN coefficient,Random CV,num__ph_missing,real,real,solution_chemistry,0.0,0.0
EN coefficient,Random CV,num__ph_x_ce_log,real,real,solution_chemistry,0.0,0.0
EN coefficient,Random CV,num__ph_x_temp,real,real,solution_chemistry,0.0,0.0
EN coefficient,Random CV,num__ret_other,real,real,polymer_identity,0.0,0.0
EN coefficient,Random CV,num__ret_pa,real,real,polymer_identity,0.0,0.0
EN coefficient,Random CV,num__ret_pa_x_fg_any,real,real,polymer_identity,0.0,0.0
EN coefficient,Random CV,num__ret_pe,real,real,polymer_identity,0.0,0.0
