regime,split_id,model,best_params_json
random_cv,random_cv_01,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_01,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 1.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_01,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.01, ""regressor__model__hidden_layer_sizes"": [64, 32], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_02,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_02,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_02,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.01, ""regressor__model__hidden_layer_sizes"": [64], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_03,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_03,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 31, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_03,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.0001, ""regressor__model__hidden_layer_sizes"": [64, 32], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_04,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_04,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 31, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_04,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.01, ""regressor__model__hidden_layer_sizes"": [32], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_05,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_05,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_05,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.01, ""regressor__model__hidden_layer_sizes"": [32], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_06,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_06,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 1.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_06,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.0001, ""regressor__model__hidden_layer_sizes"": [64], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_07,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_07,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 31, ""regressor__model__reg_lambda"": 1.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_07,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.0001, ""regressor__model__hidden_layer_sizes"": [64, 32], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_08,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_08,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_08,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.0001, ""regressor__model__hidden_layer_sizes"": [64], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_09,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_09,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_09,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.01, ""regressor__model__hidden_layer_sizes"": [64], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_10,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_10,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_10,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.0001, ""regressor__model__hidden_layer_sizes"": [64], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_11,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_11,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 1.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_11,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.0001, ""regressor__model__hidden_layer_sizes"": [64], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_12,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_12,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 31, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_12,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.01, ""regressor__model__hidden_layer_sizes"": [64], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_13,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_13,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 31, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_13,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.0001, ""regressor__model__hidden_layer_sizes"": [64, 32], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_14,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_14,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 1.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_14,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.01, ""regressor__model__hidden_layer_sizes"": [64, 32], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
random_cv,random_cv_15,elastic_net,"{""regressor__model__alpha"": 0.0001, ""regressor__model__l1_ratio"": 0.1}"
random_cv,random_cv_15,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
random_cv,random_cv_15,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.0001, ""regressor__model__hidden_layer_sizes"": [64, 32], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
group_exp,group_exp_01,elastic_net,"{""regressor__model__alpha"": 0.1, ""regressor__model__l1_ratio"": 0.1}"
group_exp,group_exp_01,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.08, ""regressor__model__min_child_samples"": 30, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 15, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
group_exp,group_exp_01,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.0001, ""regressor__model__hidden_layer_sizes"": [64, 32], ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__solver"": ""adam""}"
group_exp,group_exp_02,elastic_net,"{""regressor__model__alpha"": 0.1, ""regressor__model__l1_ratio"": 0.1}"
group_exp,group_exp_02,lightgbm,"{""regressor__model__colsample_bytree"": 0.8, ""regressor__model__learning_rate"": 0.03, ""regressor__model__min_child_samples"": 10, ""regressor__model__n_estimators"": 200, ""regressor__model__num_leaves"": 31, ""regressor__model__reg_lambda"": 0.0, ""regressor__model__subsample"": 0.8}"
group_exp,group_exp_02,mlp_regressor,"{""regressor__model__activation"": ""relu"", ""regressor__model__alpha"": 0.01, ""regressor__model__hidden_layer_sizes"": [64, 32], ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__solver"": ""adam""}"
group_exp,group_exp_03,elastic_net,"{""regressor__model__alpha"": 0.1, ""regressor__model__l1_ratio"": 0.1}"
