method,regime,feature,feature_type,null_type,mechanism_group,mean_importance,mean_importance_share
elastic_net_coef,group_aut,num__ce_over_rpm,real,real,solution_chemistry,0.01852348435757174,0.7402652073470604
elastic_net_coef,group_aut,num__temp,real,real,solution_chemistry,0.00268315348091818,0.15605760311518374
elastic_net_coef,group_aut,num__ph,real,real,solution_chemistry,0.00121444503916042,0.10367718953775236
elastic_net_coef,group_aut,num__ph_x_temp,real,real,solution_chemistry,7.836715421371507e-17,3.4696850330241636e-15
elastic_net_coef,group_aut,num__aged_x_fg_any,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__aged_x_fg_complexing,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__ags_aged,real,real,aging_state,0.0,0.0
elastic_net_coef,group_aut,num__ags_virgin,real,real,aging_state,0.0,0.0
elastic_net_coef,group_aut,num__cd_x_ce_log,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__cd_x_ph,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__cd_x_sa_log,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__ce,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__ce_log1p,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__ce_log_x_rpm_log,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__ce_over_sa,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__cr_x_ce_log,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__cr_x_ph,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__cr_x_sa_log,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__fg_any,real,real,surface_functionality,0.0,0.0
elastic_net_coef,group_aut,num__fg_complexing,real,real,surface_functionality,0.0,0.0
elastic_net_coef,group_aut,num__fg_polar,real,real,surface_functionality,0.0,0.0
elastic_net_coef,group_aut,num__hg_x_ce_log,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__hg_x_ph,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__hg_x_sa_log,real,real,other,0.0,0.0
elastic_net_coef,group_aut,num__metal_cd,real,real,metal_identity,0.0,0.0
elastic_net_coef,group_aut,num__metal_cr,real,real,metal_identity,0.0,0.0
elastic_net_coef,group_aut,num__metal_hg,real,real,metal_identity,0.0,0.0
elastic_net_coef,group_aut,num__null_exp_random_effect,real,group_aware_random,null_feature,0.0,0.0
elastic_net_coef,group_aut,num__null_perm_ce,real,permuted_real,null_feature,0.0,0.0
elastic_net_coef,group_aut,num__null_perm_ph,real,permuted_real,null_feature,0.0,0.0
elastic_net_coef,group_aut,num__null_random_binary,real,random_noise,null_feature,0.0,0.0
elastic_net_coef,group_aut,num__null_random_normal,real,random_noise,null_feature,0.0,0.0
elastic_net_coef,group_aut,num__null_random_uniform,real,random_noise,null_feature,0.0,0.0
elastic_net_coef,group_aut,num__null_study_random_effect,real,group_aware_random,null_feature,0.0,0.0
elastic_net_coef,group_aut,num__ph_missing,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__ph_x_ce_log,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__ret_other,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__ret_pa,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__ret_pa_x_fg_any,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__ret_pe,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__ret_pe_x_fg_any,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__ret_pet,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__ret_pla,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__ret_pp,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__ret_ps,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__ret_ps_x_fg_any,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__ret_pvc,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_aut,num__rpm,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__rpm_log1p,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__rpm_missing,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__sa,real,real,surface_area_porosity,0.0,0.0
elastic_net_coef,group_aut,num__sa_log1p,real,real,surface_area_porosity,0.0,0.0
elastic_net_coef,group_aut,num__sa_missing,real,real,surface_area_porosity,0.0,0.0
elastic_net_coef,group_aut,num__temp_log1p,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__temp_missing,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_aut,num__temp_x_ce_log,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_exp,num__ce_over_rpm,real,real,solution_chemistry,0.01930795420704256,0.8808890769388876
elastic_net_coef,group_exp,num__temp,real,real,solution_chemistry,0.0026736055934263,0.1031364611672981
elastic_net_coef,group_exp,num__ph,real,real,solution_chemistry,0.00036513601118243997,0.01597446189381422
elastic_net_coef,group_exp,num__aged_x_fg_any,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__aged_x_fg_complexing,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__ags_aged,real,real,aging_state,0.0,0.0
elastic_net_coef,group_exp,num__ags_virgin,real,real,aging_state,0.0,0.0
elastic_net_coef,group_exp,num__cd_x_ce_log,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__cd_x_ph,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__cd_x_sa_log,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__ce,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_exp,num__ce_log1p,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_exp,num__ce_log_x_rpm_log,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_exp,num__ce_over_sa,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_exp,num__cr_x_ce_log,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__cr_x_ph,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__cr_x_sa_log,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__fg_any,real,real,surface_functionality,0.0,0.0
elastic_net_coef,group_exp,num__fg_complexing,real,real,surface_functionality,0.0,0.0
elastic_net_coef,group_exp,num__fg_polar,real,real,surface_functionality,0.0,0.0
elastic_net_coef,group_exp,num__hg_x_ce_log,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__hg_x_ph,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__hg_x_sa_log,real,real,other,0.0,0.0
elastic_net_coef,group_exp,num__metal_cd,real,real,metal_identity,0.0,0.0
elastic_net_coef,group_exp,num__metal_cr,real,real,metal_identity,0.0,0.0
elastic_net_coef,group_exp,num__metal_hg,real,real,metal_identity,0.0,0.0
elastic_net_coef,group_exp,num__null_exp_random_effect,real,group_aware_random,null_feature,0.0,0.0
elastic_net_coef,group_exp,num__null_perm_ce,real,permuted_real,null_feature,0.0,0.0
elastic_net_coef,group_exp,num__null_perm_ph,real,permuted_real,null_feature,0.0,0.0
elastic_net_coef,group_exp,num__null_random_binary,real,random_noise,null_feature,0.0,0.0
elastic_net_coef,group_exp,num__null_random_normal,real,random_noise,null_feature,0.0,0.0
elastic_net_coef,group_exp,num__null_random_uniform,real,random_noise,null_feature,0.0,0.0
elastic_net_coef,group_exp,num__null_study_random_effect,real,group_aware_random,null_feature,0.0,0.0
elastic_net_coef,group_exp,num__ph_missing,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_exp,num__ph_x_ce_log,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_exp,num__ph_x_temp,real,real,solution_chemistry,0.0,0.0
elastic_net_coef,group_exp,num__ret_other,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_exp,num__ret_pa,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_exp,num__ret_pa_x_fg_any,real,real,polymer_identity,0.0,0.0
elastic_net_coef,group_exp,num__ret_pe,real,real,polymer_identity,0.0,0.0
