feature,importance,importance_share,mechanism_group,feature_type,null_type,regime,split_id,model,method
num__ph,0.0015506850728393,0.0555739671955134,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__temp,0.0030404099816048,0.1089632237635667,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ce,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__rpm,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__sa,0.0,0.0,surface_area_porosity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__fg_complexing,0.0,0.0,surface_functionality,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__fg_polar,0.0,0.0,surface_functionality,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__fg_any,0.0,0.0,surface_functionality,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ags_aged,0.0,0.0,aging_state,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ags_virgin,0.0,0.0,aging_state,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ph_missing,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__temp_missing,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__rpm_missing,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__sa_missing,0.0,0.0,surface_area_porosity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__metal_cd,0.0,0.0,metal_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__metal_cr,0.0,0.0,metal_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__metal_hg,0.0,0.0,metal_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_other,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_pa,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_pe,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_pet,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_pla,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_pp,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_ps,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_pvc,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ce_log1p,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__rpm_log1p,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__sa_log1p,0.0,0.0,surface_area_porosity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__temp_log1p,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ph_x_temp,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ph_x_ce_log,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__temp_x_ce_log,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ce_log_x_rpm_log,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ce_over_rpm,0.0233119889090226,0.8354628090409199,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ce_over_sa,0.0,0.0,solution_chemistry,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__cd_x_ph,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__cd_x_ce_log,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__cd_x_sa_log,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__cr_x_ph,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__cr_x_ce_log,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__cr_x_sa_log,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__hg_x_ph,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__hg_x_ce_log,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__hg_x_sa_log,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__aged_x_fg_any,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__aged_x_fg_complexing,0.0,0.0,other,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_ps_x_fg_any,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_pe_x_fg_any,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
num__ret_pa_x_fg_any,0.0,0.0,polymer_identity,real,real,random_cv,random_cv_01,elastic_net,elastic_net_coef
